testK,populationSize,generations,mutationRate,crossoverRate,reproductionRate,bestFitness,elapsedSeconds
2,181,100,0.1195,0.5870,0.2380,0.9639,1.5277918
3,132,100,0.0841,0.5996,0.1963,0.9632,0.7466108
4,118,100,0.0829,0.6165,0.1693,0.9958,0.4782109
5,121,100,0.0915,0.6358,0.1556,0.9628,0.4169429
6,129,100,0.0997,0.6548,0.1500,0.9559,0.4354992
7,137,100,0.1049,0.6717,0.1488,0.9406,0.4970429
8,142,100,0.1074,0.6860,0.1497,0.8490,0.5111133
9,146,100,0.1079,0.6977,0.1515,0.9817,0.5200648
10,149,100,0.1072,0.7071,0.1534,0.9601,0.5384708
11,150,100,0.1060,0.7145,0.1551,0.8966,0.5841784
12,150,100,0.1046,0.7203,0.1565,0.9309,0.4581566
13,150,100,0.1032,0.7249,0.1576,0.8262,0.5827183
14,149,100,0.1019,0.7284,0.1583,0.8625,0.4626281
15,148,100,0.1008,0.7310,0.1587,0.9252,0.5451441
16,147,100,0.0999,0.7331,0.1589,0.9976,0.6042419
17,145,100,0.0992,0.7346,0.1588,0.8027,0.5209281
18,144,100,0.0986,0.7357,0.1585,0.8045,0.4735078
19,143,100,0.0982,0.7364,0.1582,0.8633,0.5929232
20,141,100,0.0979,0.7369,0.1577,0.9853,0.5045305
21,140,100,0.0977,0.7373,0.1571,0.9858,0.5785277
22,138,100,0.0976,0.7374,0.1565,0.9433,0.552456
23,137,100,0.0975,0.7375,0.1559,0.9484,0.4477539
24,136,100,0.0975,0.7374,0.1552,0.9912,0.4742605
25,134,100,0.0975,0.7373,0.1546,0.9789,0.4706675
26,133,100,0.0976,0.7372,0.1539,0.9582,0.388851
27,132,100,0.0977,0.7370,0.1533,0.6773,0.3892761
28,131,100,0.0977,0.7368,0.1527,0.7719,0.4676763
29,130,100,0.0978,0.7366,0.1521,0.8702,0.5063039
30,129,100,0.0979,0.7364,0.1515,0.7305,0.4730117
31,128,100,0.0980,0.7362,0.1509,0.7775,0.3625873
32,127,100,0.0981,0.7360,0.1504,0.8043,0.4126793
33,127,100,0.0982,0.7357,0.1499,0.9824,0.4982538
34,126,100,0.0983,0.7355,0.1495,0.8663,0.4447376
35,125,100,0.0984,0.7353,0.1490,0.9550,0.4342565
36,125,100,0.0985,0.7351,0.1486,0.9997,0.4302121
37,124,100,0.0986,0.7349,0.1482,0.4683,0.4319277
38,124,100,0.0987,0.7348,0.1479,0.9565,0.398418
39,123,100,0.0987,0.7346,0.1475,0.7802,0.3786782
40,123,100,0.0988,0.7344,0.1472,0.6209,0.3601426
41,122,100,0.0989,0.7343,0.1469,0.8938,0.4040438
42,122,100,0.0989,0.7342,0.1466,0.7774,0.3847428
43,121,100,0.0990,0.7340,0.1464,0.6801,0.4504814
44,121,100,0.0991,0.7339,0.1461,0.9748,0.3534144
45,121,100,0.0991,0.7338,0.1459,0.9841,0.3843346
46,120,100,0.0992,0.7337,0.1457,0.8252,0.441707
47,120,100,0.0992,0.7336,0.1455,0.8434,0.4691851
48,120,100,0.0992,0.7335,0.1453,0.7546,0.1870589
49,119,100,0.0993,0.7334,0.1452,0.7923,0.3555071
50,119,100,0.0993,0.7333,0.1450,0.7382,0.3211737
51,119,100,0.0994,0.7333,0.1449,0.6163,0.3572847
52,119,100,0.0994,0.7332,0.1447,0.8191,0.3564876
53,119,100,0.0994,0.7331,0.1446,0.9999,0.3717758
54,118,100,0.0994,0.7331,0.1445,0.7741,0.3555995
55,118,100,0.0995,0.7330,0.1444,0.8683,0.4249012
56,118,100,0.0995,0.7330,0.1443,0.5239,0.4112202
57,118,100,0.0995,0.7329,0.1442,0.9140,0.4032338
58,118,100,0.0995,0.7329,0.1441,0.9430,0.2661801
59,118,100,0.0996,0.7328,0.1440,0.7270,0.3534428
60,118,100,0.0996,0.7328,0.1440,0.9830,0.3928459
61,118,100,0.0996,0.7328,0.1439,0.6236,0.3589571
62,118,100,0.0996,0.7327,0.1438,0.9755,0.3711188
63,117,100,0.0996,0.7327,0.1438,0.8648,0.3892534
64,117,100,0.0996,0.7327,0.1437,0.9660,0.3313825
65,117,100,0.0996,0.7327,0.1437,0.8902,0.3409106
66,117,100,0.0996,0.7326,0.1437,0.6076,0.3907241
67,117,100,0.0997,0.7326,0.1436,0.8718,0.3561369
68,117,100,0.0997,0.7326,0.1436,0.7390,0.3699981
69,117,100,0.0997,0.7326,0.1435,0.9395,0.3119826
70,117,100,0.0997,0.7326,0.1435,0.8653,0.3191563
71,117,100,0.0997,0.7325,0.1435,0.9908,0.4084594
72,117,100,0.0997,0.7325,0.1435,0.7568,0.3564975
73,117,100,0.0997,0.7325,0.1434,0.6196,0.3661641
74,117,100,0.0997,0.7325,0.1434,0.9712,0.3626405
75,117,100,0.0997,0.7325,0.1434,0.8490,0.3665634
76,117,100,0.0997,0.7325,0.1434,0.9011,0.3203804
77,117,100,0.0997,0.7325,0.1433,0.9438,0.3145295
78,117,100,0.0997,0.7325,0.1433,0.6838,0.3082127
79,117,100,0.0997,0.7325,0.1433,0.2922,0.3962966
80,117,100,0.0997,0.7324,0.1433,0.7801,0.3027317
81,117,100,0.0997,0.7324,0.1433,0.9703,0.3123829
82,117,100,0.0997,0.7324,0.1433,0.9309,0.3964343
83,117,100,0.0997,0.7324,0.1433,0.7138,0.3467816
84,117,100,0.0997,0.7324,0.1432,0.9724,0.3222221
85,117,100,0.0997,0.7324,0.1432,0.8907,0.298573
86,117,100,0.0997,0.7324,0.1432,0.6798,0.3262956
87,117,100,0.0997,0.7324,0.1432,0.9869,0.350585
88,117,100,0.0997,0.7324,0.1432,0.9078,0.3526116
89,117,100,0.0998,0.7324,0.1432,0.3546,0.4088878
90,117,100,0.0998,0.7324,0.1432,0.9711,0.394806
91,117,100,0.0998,0.7324,0.1432,0.8135,0.3956194
92,117,100,0.0998,0.7324,0.1432,0.7191,0.3636407
93,117,100,0.0998,0.7324,0.1432,0.9895,0.3852726
94,117,100,0.0998,0.7324,0.1432,0.7776,0.2904524
95,116,100,0.0998,0.7324,0.1432,0.6819,0.3336391
96,116,100,0.0998,0.7324,0.1432,0.9892,0.3574382
97,116,100,0.0998,0.7324,0.1432,0.4791,0.427777
98,116,100,0.0998,0.7324,0.1432,0.7192,0.3450626
99,116,100,0.0998,0.7324,0.1432,0.8622,0.2838292
100,116,100,0.0998,0.7324,0.1432,0.3110,0.3574882
